# capture_start_utc=2026-08-29T17:33:14Z
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 5527355 300 101652 1
S 5534355 300 101652 1
S 5541354 300 101646 1
S 5548354 300 101658 1
S 5555353 300 101649 1
S 5562353 300 101649 1
S 5569352 300 101654 1
S 5576352 300 101652 1
S 5583352 300 101646 1
S 5590351 300 101649 1
S 5597351 300 101652 1
S 5604350 300 101651 1
S 5611350 300 101657 1
S 5618349 300 101652 1
S 5625349 300 101649 1
S 5632349 300 101654 1
S 5639348 300 101655 1
S 5646348 300 101652 1
S 5653347 300 101646 1
S 5660347 300 101652 1
S 5667346 300 101648 1
S 5674346 300 101658 1
S 5681345 300 101657 1
S 5688345 300 101649 1
S 5695345 300 101648 1
S 5702344 300 101657 1
S 5709344 300 101652 1
S 5716343 300 101652 1
S 5723343 300 101651 1
S 5730342 300 101654 1
S 5737342 300 101651 1
S 5744342 300 101658 1
S 5751341 300 101651 1
S 5758341 300 101652 1
S 5765340 300 101655 1
S 5772340 300 101652 1
S 5779339 300 101658 1
S 5786339 300 101651 1
S 5793338 300 101651 1
S 5800338 300 101658 1
S 5807338 300 101655 1
S 5814337 300 101660 1
S 5821337 300 101652 1
S 5828336 300 101655 1
S 5835336 300 101652 1
S 5842335 300 101657 1
S 5849335 300 101655 1
S 5856335 300 101658 1
S 5863334 300 101654 1
S 5870334 300 101654 1
S 5877333 300 101652 1
S 5884333 300 101649 1
S 5891332 300 101655 1
S 5898332 300 101654 1
S 5905331 300 101654 1
S 5912331 300 101660 1
S 5919331 300 101657 1
S 5926330 300 101657 1
S 5933330 300 101663 1
S 5940329 300 101652 1
S 5947329 300 101660 1
S 5954328 300 101658 1
S 5961328 300 101655 1
S 5968328 300 101658 1
S 5975327 300 101660 1
S 5982327 300 101652 1
S 5989326 300 101654 1
S 5996326 300 101655 1
S 6003325 300 101652 1
S 6010325 300 101661 1
S 6017324 300 101657 1
S 6024324 300 101651 1
S 6031324 300 101654 1
S 6038323 300 101657 1
S 6045323 300 101655 1
S 6052322 300 101661 1
S 6059322 300 101663 1
S 6071321 300 101654 1
S 6078321 300 101655 1
S 6085320 300 101652 1
S 6092320 300 101655 1
S 6136317 300 101649 2
S 6147316 300 101649 2
S 6158316 300 101650 2
S 6169315 300 101652 2
S 6180314 300 101647 2
S 6191314 300 101652 2
S 6202313 300 101652 2
S 6213312 300 101654 2
S 6224312 300 101654 2
S 6235311 300 101655 2
S 6246310 300 101651 2
S 6257309 300 101652 2
